order_id,customer_name,email,product_category,quantity,unit_price,total_amount,order_date,delivery_date,payment_status,region,discount_percent,customer_age
5952,   Alice Davis                 ,user5952@example.com,Furniture,78,459.69,2398.62,2025-10-29,2025-08-12,Failed,West,10.56,61
1981,Bob Williams,user1981@domain@domain@219.com,Home,82,148.34,4023.62,2025-07-29,2025-05-16,Cancelled,East,16.43,40
14176,Alice Miller,user14176@example.com,Toys,88,,722.13,2025-05-16,9999-01-01,Failed,South,7.57,39
11516,Diana Johnson,UsEr_11516@ExAmPlE.CoM,TOys,86,125.03,,2025-08-09,2025-07-02,Pending,North,,35
7475,Alice Miller,user7475@example.com,Books,85,$375.30,1,2025-06-15,2026-01-24,Pending,123,27.41,61
ORD-3063-BAD,fRAnk jOhnsoN,,Electronics,56,138.35,2234.74,,,Cancelled,East,38.46,68
-5,   Frank Davis            ,,,95,10.86,3293.31,2025-05-06,2026-01-28,ERROR_CODE_500,West,,54
9966,Henry Jones,,Sports,20,FREE,374.58,2026-04-24,2025-12-20,Cancelled,North,40.23,10000
0,Alice Garcia,user290@example.com,Sports,44xd,262.24,373.83,2025-09-17,2025-09-23,Paid,North,44.5,34
4730,Charlie Smith,user4730@example.com,Electronics,6,471.7,2437.48,2026-01-06,pending,Pending,East,9.38,-50
2006,Henry Smith,...2006___@test.test.test.test,Books,29,366.57,58.44,TBD,2026-04-29,Paid,East,0.91,42
12973,Frank Brown,user12973@example.com,Sports,60,328.13,,2025-12-07,,Refunded,South,9.29,27
19,"


",user19@example.com,Electronics,54xy,294.12,4285.09,2025-10-17,2025-11-30,Refunded,West,36.73,46
14125,Henry Williams,user14125@example.com,Furniture,52,206.85,2281.57,null,2026-04-29T21:39:57.907511Z177,Cancelled,,12.01,59
6119,Frank Williams,user6119@example.com,🎁🎀🎊,LOTS,134.98,483.9,2026-01-16,2025-11-16,***Failed***,East,34.43,48
3550,null,___3550...@test.test.test.test,Home,-999999,446.7,,2025-11-26,2026-01-18,Cancelled,Central,2.33,73
13721,Henry Smith,user13721@example.com,55,65,62.14,,2026|04|12,,Failed,East,34.64,53
4964,Alice Brown,user4964@example.com,Sports,26,431.74,3680.96,2026-01-18,13-13-2024,Pending,East,26.61,38
😀,Alice Davis,user8818@example.com,HomE,28,93.65,3589.55,2025-10-31,2025-06-26,Refunded,East,-999,twenty
4367,Alice Davis,user4367@example.com,Toys,63,348.37,346.16,2026/04/05,2025-07-08,Refunded,West,5.84,47
14632,"


",user14632@example.com,Toys,44,312.63,3453.23,1850-06-15,2026-05-12,0,North,17.95,0
5847,Eve Williams,user5847@example.com,Clothing,9999999,326.71,934.85,2025-12-18,2025-09-15,Paid,Central,11%,26
10036,Grace Garcia,user10036@example.com,FIX_ME,8,379.3,217.56,,2026-01-05,Refunded,North,46.8,-200
ORD-7729-BAD,Grace Williams,user7729@example.com,Clothing,84,153.98,-100,2025-07-30,2026-02-06,Paid,South,83%,85
9438,Charlie Davis,user9438@example.com,Home,1,25.68,0.01,2025-05-14,2026-02-17,Paid,North,36.3,73
9999,Henry Jones,user9999@example.com,Sports,1,350.14,4821.85,2025-05-19,2026-03-18,Pending,"-80.90,-129.88",46.93,
9048,DIANA garCIA,...9048...@test.test.test.test,Toys/Clothing/Sports,71,465.91,1666.35,2026-03-30,2026-04-29,Cancelled,West,,
0,Charlie Davis,user9214@example.com,Clothing,45,261.45,,2025/05/15,pending,Refunded,Central,7.69,51
11388,Frank Johnson,user11389@example.com,Sports,9999999,195.48,,,2026-04-27,Pending,West,47.1,48
3073,   Frank Williams               ,user3073@example.com,Toys,97,77.54,4848.75,2025-08-18,2026-02-26,Failed,East,41.1,35
476,Frank Williams,user476@example.com,Electronics,31.401,322.94,2804.01,2024-02-30,2026-02-23,fAiLeD,West,7.29,63
9731,UNKNOWN,user9731@example.com,Home/Furniture/Toys,100,356.82,928.31,2025-10-10,2025-08-05,Cancelled,Central,48.84,18
11112,   Eve Davis            ,user11112@example.com,Electronics,85,MILLIONS,4098.39,2025-07-21,2025-09-27,Cancelled,,20.64,47
11008,Charlie Jones,user11008@domain@domain@14.com,Sports,,12.4,3917.79,2026-03-27,2025-12-01, Pending ,North,28.43,23
7943,Frank Jones,user7943@example.com,Home,57,147.18,3827.41,2025-05-21,2025-12-12,pAiD,Central,41.71,500
14106,Henry Jones,user14106@example.com,Books,49,345.21,1591.66,2026-02-04,2026-01-06,Refunded,🌍🌎🌏,1.17,83
8603,Henry Garcia,user8603@example.com,unknown,,282.87,1151.7,TBD,2025-04-20,Failed,EAst,16.67,79
!!!!,Eve Johnson,user6829@example.com,Home,89,MILLIONS,10000000000.0,0001-01-01,2025-10-04,Refunded,North,20.95,53
7248,eVe johNSon,...7248---@test.test.test.test,Clothing,,51.66,3126.71,2050-06-15,2025-06-29,Paid,South,45.08,68
14860,Grace Jones,user14860@example.com,////////,89,336.67,2653.46,32-12-2024,2025-11-27,Cancelled,Central,99999,68
1163,Grace Garcia,user1163@example.com,FIX_ME,qwerty,10000000000.0,,2025-04-30,2025-11-24,Failed,"24.40,-136.16",4.08,63
6134,Eve Miller,user6134@example.com,Home,999999999,455.14,2631.57,2026-04-04,2026-04-29,Cancelled,North,-500,23
-999999,Henry Brown,user3053@example.com,Furniture,92,,50.97,2026-02-25,2025-12-09,Refunded,South,38.84,69.21
1988,---,user1989@example.com,Home,98,99999999.99,99.13,2025-08-18,2026-03-04,Paid,East,-100,18
1208,Bob Johnson,user1208@example.com,Furniture,24,185.66,2876.0,ASAP,,Failed,Central,48.42,71
7066,Diana Williams,user7066@example.com,Toys,92,,583.82,2026-02-12,2026-04-29T21:39:57.827136Z814,Pending,South,8.85,71
4738,Henry Williams,user4738@example.com,Clothing,76xY,10000000000.0,1616.41,2026-02-14,2025-07-12,2,©®™,48.42,46
12838,Alice Jones,user12838@example.com,Electronics,85.111,323.17,4685.05,2026-01-07,2025-11-20,Cancelled,South,FREE,51
8509,Diana Williams,UsEr_8509@ExAmPlE.CoM,Furniture/Electronics/Home,46,360.49,,2026-01-20,2025-08-01,Paid,East,1%,
217,SgIUDYUKnyWHVowUOqidOtrdXnwzWFjzhNlHVLfdDnxUhHWInK,user217@example.com,Toys,56,365.24,359.8,null,2025-09-17,***Failed***,East,15.14,-1
1816,Bob Brown,user1816@example.com,FUrNIturE,93,312.28,4195.98,2026-02-08,2026-04-27,Refunded,South,11.65,74
9818,Henry Miller,user9818@example.com,Toys,80xA,175.07,2999.57,2026-01-31,2026-04-29T21:39:57.859182Z703,Cancelled,West,20.42,---
5227,HeNry JOHnsoN,user5227@example.com,Sports,6,$287.73,4837.59,2026-01-06,2026-02-16,Refunded,South,18.52,68
9787,Grace Johnson,user9787@example.com,fURNiture,50,463.54,2216.45,ASAP,2025-12-16,Paid,████,,UNKNOWN
3341,   Bob Williams                   ,user3341@example.com,HOME,13,205.34,175.61,2025-11-23,pending,Cancelled,North,3.54,-5
11243,Frank Johnson,user11243@example.com,Home,27,482.06,4479.24,2025-10-16,2025-05-11,Failed,North,43.17,-50
99999999999,bOb MiLLEr,,SPortS,99,expensive,10000000000.0,1850-06-15,2026-04-29,Refunded,South,33.77,58
2308,Diana Johnson,óá™®óááé®™íúáúúñ©ññí,Clothing,17,296.06,1944.74,,2099-12-31,Paid,Central,21.86,
10547,Grace Smith,user10547@example.com,Clothing,6,122.42,365.43,2025-06-26,2026-01-10,Refunded,─────,22.49,39
7745,Eve Davis,---7745...@test.test.test.test,////////,39,20.69,4736.94,99/99/9999,2025-06-12,Cancelled,West,20.93,60
2616,Frank Brown,user2616@domain@domain@116.com,Clothing,42,220.53,1309.52,2024-13-45,,Cancelled,,9.12,48
123,?,user123@example.com,Electronics,,420.73,0.01,,9999-01-01,1,"24.87,171.74",5.78,78
59,Grace Jones,user59@example.com,Electronics,-10,258.98,808.33,,2025-09-30,,NOWHERE,47.47,
4820,Eve Brown,user4820@example.com,Toys,19,367.33,4754.62,2025-07-26,2025-11-17,Pending,South,46.87,34
856,Bob Garcia,user856@example.com,Toys,10,293.48,4364.83,2025-07-28,,Pending,East,31.38,83
😀,Henry Miller,user10010@example.com,Furniture,qwerty,343.27,4239.35,2025-12-13,,Pending,East,5.13,21
ORD-101-NULL,Eve Williams,user101@example.com,19,32,339.74,2891.35,2025_09_29,2026-03-23,Failed,East,24.4,29
12823,Eve Miller,user12823@example.com,18,51,138.41,4960.96,2026-04-24,2025-05-11,Cancelled,South,41.36,66
2150,Bob Davis,user2150@domain@domain@88.com,Clothing,24,363.37,470.83,2025-08-29,null,NOPE,North,,UNKNOWN
5025,N/A,user5025@example.com,Furniture,48,192.85,2393.7,2025-10-20,2025-10-08,Failed,Central,9.31,56
ORD-2027-ERR,Eve Miller,...2027___@test.test.test.test,Toys,92,24.34,2015.14,2026-01-17,2025-08-09,Cancelled,"3.73,81.25",32.7,49
4081,			,user4081@example.com,Electronics,96,405.37,3458.59,2026-02-06,,999,North,37.47,79
-1,Charlie Smith,user14647@example.com,Toys,89,360.79,,2025-12-02,2025-09-20,Failed,North,,51
ORD-9457-BAD,Eve Williams,user9457@example.com,Electronics,6,259.88,2026.23,2025-06-18,2026-03-16,Cancelled,South,,-50
2858,Charlie Smith,user2858@example.com,Clothing,41,454.45,,2024-13-45,2026-03-23,Pending,"16.92,31.42",46.08,27
4191,Bob Johnson,user4191@example.com,Furniture,46,$158.25,1884.34,2025-05-06,2025-11-15,Refunded,North,10.65,---
7534,Charlie Jones,user7534@domain@domain@218.com,16,46xp,218.52,3112.01,32-12-2024,2025-05-19,pAiD,North,21.36,64
ORD-7312-NULL,Charlie Jones,user7312@example.com,Books,999999999,262.89,3712.96,2026-01-06,2025-10-21,Refunded,🌍🌎🌏,7.08,26
1705,Charlie Miller,UsEr_1705@ExAmPlE.CoM,Clothing,null,$283.39,1,2025-06-04,2025-08-05,NOPE,,HUGE,76
11131,Charlie Miller,user11131@example.com,Sports,-10,296.08,446.42,2025-07-08,,Pending,South,99999,62
10478,Bob Smith,user10478@example.com,Electronics,49,494.54,-100,2026-01-25,2025-07-16,Paid,North,18.56,38
169,Alice Smith,user169@example.com,Electronics,79,97.64,1354.35,2025-11-05,2025-09-25,Failed,West,8.99,-50
6765,Frank Miller,user6765@example.com,Books,89,133.72,228.12,2025-05-09,2026-03-29,Paid,North,12.42,41
7098,Diana Williams,user7098@domain@domain@704.com,Books,-50000,471.01,2455.97,2025-07-11,2026-03-28,Pending,North,3.78,20
7573,,UsEr_7573@ExAmPlE.CoM,Furniture,27,82.73,4790.93,2025-08-29,2025-12-19,Paid,South,,44
11657,,user11657@example.com,Home,45,289.03,1712.03,2099-01-01,2026-05-05,Refunded,***East***,116%,999
13799,,user13799@example.com,Clothing,88,344.09,2525.13,null,2099-12-31,Failed,,29.95,81
7918,Frank Miller,íá®©áñóóú©™á®úññíá™®,Electronics,999999999,204.94,,2025-06-20,2026-03-04,Pending,West,27.67,32.657
6234,Grace Garcia,user6234@example.com,Sports,null,152.33,,99/99/9999,,Paid,Central,49.74,23
4040,Eve Brown,user4040@example.com,Clothing,999999999,$363.99,4154.93,2024-02-30,2026-04-29,Refunded,North,48.92,48
2923,123456789,user2923@example.com,Sports,56,289.88,162.12,,2025-06-13,Refunded,Central,99999,76
14369,,user14369@example.com,Books,89.609,460.01,164.93,2025-08-12,9999-01-01,Cancelled,,15.29,N/A
5225,©®™,user5225@example.com,🎁🎀🎊,35,expensive,3002.84,2025-07-15,2025-11-17,PeNdInG,North,18.64,53
2002,Henry Jones,user2002@example.com,7,7,7.19,2758.17,,2025-12-27,Refunded,East,17.79,80
11668,Bob Miller,user11668@example.com,Furniture,20,167.82,,2025-07-13,2025-08-31,  Paid  ,North,34.04,55
795,Frank Brown,user795@example.com,Sports,6,236.47,10000000000.0,2025-12-14,,,Central,25.04,58
6195,   Diana Davis        ,user6195@example.com,Home,,$4.85,86.56,2025-07-11,2025-10-12,Failed,East,48.5,73
6934,Grace Williams,user6934@example.com,TODO,46xP,227.78,3626.19,2025-05-07,2026-03-21,Paid,Central,HUGE,33
3032,Charlie Davis,user3032@example.com,Books,63,209.36,4848.05,2025-07-14,2025-11-14,Cancelled,***East***,28.81,26
8657,0000000,user8657@example.com,Clothing,70,$54.29,3747.02,2025-06-18,2025-09-17,Failed,West,22.78,56.336
12325,Henry Johnson,user12325@example.com,Sports,31,42.23,4640.14,2026-02-20,TBA,Refunded,Central,16.86,83
ORD-1039-NULL,Eve Jones,user1039@example.com,,98.59,78.84,4183.6,2024-13-45,2025-12-29,Failed,South,41.88,22
-999999,Frank Jones,user5885@example.com,Sports,62xO,307.12,-9999,2025-05-05,2025-11-19,Cancelled,,23.14,57
3373,,user3373@example.com,85,54,10000000000.0,3688.37,null,,Paid,West,27.38,71
4486,Henry Brown,user4486@example.com,Electronics,77,419.11,3388.36,2050-06-15,,Paid,South,40.52,36
14066,Frank Smith,'; DROP TABLE--@example.com,Sports,54,99999999.99,2887.5,2025-06-23,2026-04-03,Refunded,East,0.96,500
8115,Alice Davis,user8115@example.com,45,10,251.74,746.36,2026-04-07,2026-02-13,fAiLeD,"-56.71,-165.30",43.03,38
ORD-11098-ERR,Eve Williams,user11098@example.com,Sports,81,37.65,,2025-07-19,2026-04-29,Pending, South ,29.86,49
11769,Charlie Johnson,user11769@example.com,INVALID_CAT_12345,43xy,323.42,3831.19,2025-10-26,,Paid,East,45.66,69
6541,Alice Davis,user6541@example.com,Furniture,93,293.82,2500.35,2050-06-15,,Pending,Central,4.96,66
10190,Alice Miller,!!!!!!!,Toys,29,12.08,,2025-10-14,2025-08-16,Paid,South,26.68,85
3964,,user3964@example.com,eLeCTRONicS,12,141.42,4654.73,0001-01-01,2026-03-06,SUCCESS,Central,33.05,43
11337,Frank Miller,™éííúó®©é©ñ®®á™ííóáí,elEcTRonICS,9999999,FREE,1760.77,2026-01-27,2025-11-10,Pending,WEST,-999,48
12646,Diana Jones,user12646@example.com,Electronics,26,96.06,1505.13,2026-01-06,2026-01-26,Failed,West,0.2,72
8139,Alice Johnson,'; DROP TABLE--@example.com,Books,90xa,171.67,1188.48,,2025-09-27,  Paid  ,North,150,39
9753,Eve Garcia,user9753@example.com,Books,,$333.33,612.15,2026-04-25,2025-06-21,Pending,East,7.92,33
-5,Bob Davis,'; DROP TABLE--@example.com,Sports,50,127.36,3601.76,2025-05-28,2025-06-21,2,XYZ,19.14,45
8241,?,user8241@example.com,Furniture/Sports/Sports,23,402.26,1299.98,2050-06-15,13-13-2024,  Paid  ,Central,6.44,36
7858,Frank Smith,user7858@example.com,Home,3,471.88,0.01,2025-05-06,9999-01-01,,eAsT,2.71,46
6074,Grace Garcia,user6074@example.com,Toys,40,,4832.88,2026-02-20,,Pending,🌍🌎🌏,35.92,38
2480,Bob Jones,user2480@example.com,misc,48,417.04,79.13,2026-02-17,,Pending,East,-999,85
2478,Bob Johnson,user2478@example.com,Home,86,385.28,1524.12,,2099-12-31,Pending,©®™,,72
12434,Diana Garcia,,Home,87,,4121.98,2025-07-31,2026-04-29,ERROR_CODE_500,  North  ,30.63,66
11230,Bob Jones,user11230@example.com,Books,88,158.82,2489.95,2025-10-20,,Cancelled,Central,47.17,---
5331,-----,user5332@example.com,Clothing,59,310.84,3321.36,2025-12-12,2026-03-05,Refunded,,12.1,48
1027,Frank Smith,user1027@example.com,Furniture,79,466.14,3086.19,2026-03-04,2025-11-21,Paid,West,11.53,34
12977,Grace Jones,...12977___@test.test.test.test,Home,87,999999999.99,3944.87,2025-09-22,2026-01-07,Pending,***East***,43%,43
2501,Henry Williams,user2501@example.com,Clothing,41,164.21,2761.73,2026-01-07,2026-04-29T21:39:57.776970Z511,Cancelled,South,39.37,UNKNOWN
6648,Eve Smith,user6648@example.com,Toys,71,122.57,-0.01,2026-03-15,2025-09-06,Failed,East,49.37,999
2499,Henry Smith,user2499@example.com,Home,14,,,2025-09-20,,Cancelled,East,-500,25
5535,Henry Jones,user5535@example.com,Toys,98.319,$48.95,3384.43,2026-01-27,2025-12-05,Failed,East,28.62,59
900,Alice Jones,™ññá©®™áé™éááñ©©é©ñú,Sports,99999999,22.87,3044.91,1850-06-15,2026-03-20,Cancelled,Central,10.21,73
2796,Bob Jones,user2797@example.com,Sports,73,999999999.99,2776.56,2026-03-30,2025-05-23,Cancelled,,43.24,-5
5880,			,,23,50,63.46,2902.3,2025-10-27,2026-01-23,1,Central,20.73,78
6740,   Henry Johnson            ,user6740@example.com,Electronics,52,419.35,1284.91,2025-05-01,2099-12-31,Paid,West,23.44,UNKNOWN
7306,Henry Davis,user7306@example.com,Sports,28,237.22,202.24,2026-02-03,2025-08-04,2,123,40.54,
1034,Diana Smith,user1034@example.com,misc,62,99999999.99,547.58,2025-08-26,2026-02-06,***Failed***,NOWHERE,14.5,25
11919,null,user11919@example.com,Clothing,94,321.82,2137.67,2025-11-26,2026-05-03,Refunded,XYZ,46.54,52
14587,Alice Miller,user14587@example.com,Books,41,474.76,3033.27,2025-09-19,2026-01-22,Pending,South,-999,72
8200,eve joNeS,user8200@example.com,Clothing,97,256.05,3425.39,yesterday,2026-03-16,Paid,South,43.93,78
4756,Henry Jones,user4756@example.com,Furniture,2,61.48,608.88,2026-03-24,2026-01-23,Refunded,East,43.05,75
11290,Frank Jones,user11290@example.com,Sports,51,MILLIONS,2520.39,2026-04-29,2025-12-10,Paid,East,26.96,-5
12280,null null null,user12280@domain@domain@312.com,Clothing,75,333.2,3151.94,2025-07-05,2025-11-25,SUCCESS,Central,18.85,78
12308,Bob Davis,,Furniture,5,368.7,3707.84,,2025-08-09,Cancelled,East,14.0,45
11055,Grace Jones,user11055@example.com,Toys,,417.1,,,2025-11-22,2,123,29.27,58
4073,Alice Smith,user4073@example.com,Sports,41,472.89,3264.89,2026-01-03,2025-06-07,Cancelled,"-47.48,146.12",9.47,40
2281,Diana Smith,user2281@example.com,Toys,,83.59,3791.24,2025-05-23,pending,Refunded,NOWHERE,21.62,78
4407,Frank Miller,user4407@example.com,Clothing,12,$100.39,,2025-11-28,2025-08-12,fAiLeD,Central,33.06,54
5762,Bob Miller,user5762@domain@domain@619.com,Books,ABCDEF,453.45,2219.62,2025-07-21,2025-11-29,Paid,West,13.88,20
-1,-----,user11631@example.com,Electronics,69,146.54,3425.57,2025-09-21,2099-12-31,Paid,North,29.82,22
12863,Alice Williams,user12863@example.com,Electronics,46,160.08,536.0,2025-05-02,,Cancelled,,33.72,---
14800,Diana Williams,123456,Sports,97,312.89,3118.77,2025-11-03,2025-12-01,0,North,21.35,41
4226,,___4226---@test.test.test.test,Books/Books/Home,34,,2416.85,2025-07-21,2025-05-06,1,West,7.68,69
970,Diana Garcia,user970@example.com,Furniture,97,209.74,4323.99,2026-03-12,2026-04-29T21:39:57.760335Z992,Failed,123,,65
7004,HENRy dAviS,user7004@example.com,INVALID_CAT_12345,62.837,187.68,3931.77,2026-04-12,2026-01-22,Refunded,soUtH,150,74
14420,Diana Brown,user14420@example.com,Electronics,67,171.12,2027.67,1900-01-01,,Refunded,South,19.74,39
12084,Grace Davis,user12084@example.com,Electronics,70,400.64,3622.6,2025-10-22,2026-04-29,Cancelled,─────,7.8,81
14560,Henry Williams,user14560@example.com,Furniture,17.23,420.5,2699.97,2026-04-21,2026-03-07,Cancelled,South,1000,81
6732,Henry Miller,user6733@example.com,72,68,266.2,44.24,2026-02-10,,,West,26.51,40.011
ORD-11341-ERR,Grace Smith,user11341@example.com,Furniture,17xJ,30.63,,2024-02-30,2025-12-12,Refunded,South,N/A,53
14911,Bob Williams,user14911@example.com,Books,82xF,499.59,759.19,2025-06-16,2025-12-10,Failed, South ,22.53,36
10429,Charlie Miller,user10429@example.com,Toys,51,345.6,3933.98,2025-11-06,2025-12-07,PeNdInG,Central,12.57,53
7808,Bob Miller,user7808@example.com,90,42,125.96,1163.39,2025-07-29,2026-04-29T21:39:57.835244Z617,Cancelled,Central,24.31,28
0,████,user8045@example.com,Furniture,80.462,445.42,1091.2,2026-03-28,2025-07-05,Paid,North,FREE,20
8915,Alice Brown,user8915@example.com,Furniture,25,423.92,1863.24,2025-10-18,2025-11-03,Refunded,"-2.11,16.16",14.23,25
6071,Alice Miller,user6071@example.com,Books,999999999,219.04,699.84,ASAP,2026-01-24,Pending,  North  ,22.37,66
11105,Alice Garcia,,Furniture,70,469.11,1544.05,2025-07-12,2025-10-02,,East,1.43,52
4115,Bob Johnson,user4115@domain@domain@321.com,TODO,......,-100.99,4936.3,2025-08-22,2026-04-29,Cancelled,West,30.48,65
13749,UNKNOWN,user13749@example.com,Furniture,31xl,400.91,4864.73,2025-05-19,2026-03-21,Pending,WeST,19.21,53
13170,Henry Garcia,user13170@example.com,Clothing,17,8.67e+02,1274.44,2026-01-27,2025-07-28,fAiLeD,,105%,78
8769,Grace Garcia,user8769@example.com,TODO,16,438.57,2551.75,,2025-09-25,pAiD,─────,11.83,70
14941,Diana Jones,user14941@example.com,████████,qwerty,5.13e+02,4133.76,2026-04-04,2025-07-01,Cancelled,West,-500,47
5046,Grace Johnson,user5046@example.com,Clothing,......,$303.71,,2025-05-19,2025-05-23,Refunded,North,30.3,49
14608,Eve Williams,user14608@example.com,TODO,27,456.44,,2026-03-26,2026-05-18,Pending,West,47.98,70
99999999999,Alice Garcia,user7779@example.com,Books,76,255.45,999999999,,2026-04-28,Pending,NOrth,FREE,80
4931,Charlie Miller,,Home,22,199.61,2418.57,2026-04-23,2026-02-15,Cancelled,East,4%,38.947
11327,Alice Jones,user11327@example.com,Electronics,1,298.26,,2026-03-14,2026-01-26,pAiD,─────,36.33,55
12922,Grace Johnson,user12922@example.com,Toys/Home/Books,40,16.47,1430.94,2099-01-01,2025-05-10,Pending,Central,0.36,
827,Henry Garcia,user828@example.com,Home,33,490.83,693.94,2025-07-18,2025-04-27,Failed,"-73.70,20.68",6.04,67
5293,Grace Smith,user5293@example.com,Furniture,19,455.44,798.98,2026-04-22,,Paid,South,37.01,66
ABC123XYZ,Frank Brown,user3707@example.com,Furniture,79,444.43,542.52,2025-09-12,2025-09-30,Cancelled,East,40.52,81
6670,Diana Jones,user6670@example.com,Home,999999999,328.73,1267.59,2026-03-08,2025-10-05,Pending,East,15.81,23
ORD-12761-ERR,Alice Davis,user12761@example.com,Home,9999999,313.76,4053.06,2026-01-23,2025-10-30,Failed,North,DISCOUNT,47
2860,Alice Miller,user2861@example.com,Sports,60,FREE,3815.14,2025-04-30,9999-01-01,Cancelled,***East***,12.28,---
5858,Bob Johnson,user5858@example.com,,94,176.71,2040.72,2025-06-03,,Pending,South,150,59
0,Henry Garcia,áíñ™©í™íí™é®óí®úíúá™,Home,18xG,53.46,3813.9,,2025-10-26,Paid,West,FREE,84
10087,Bob Garcia,user10087@example.com,Home,56,278.29,2120.02,2026-04-10,2025-07-17,Failed,West,99999,61
ORD-7020-ERR,Charlie Davis,user7020@example.com,Furniture,18,215.99,244.91,2025_11_16,2026-03-14,Paid,South,37.68,71
10478,Charlie Garcia,user10479@example.com,Toys,92,192.3,4259.49,2025-05-03,2025-10-06,Paid,East,-500,-1
13047,Charlie Johnson,user13047@domain@domain@703.com,other,-999999,207.91,1000000000000000.0,2025-07-01,2025-05-12,Refunded,South,20.25,32
7025,Alice Davis,user7025@example.com,Toys,99999999,66.66,4702.31,2026-02-18,2026-05-02,Failed,South,36.85,70.685
3601,null,user3601@example.com,Clothing,94,2.28e+02,3602.28,unknown,2025-09-06,Pending,South,14.17,37
10373,   Grace Smith         ,user10373@domain@domain@966.com,Toys,78,50.22,1,2025-09-27,2025-10-30,Pending,West,22.43,75
ABC123XYZ,Diana Davis,user13335@domain@domain@173.com,Clothing,20.046,10000000000.0,3976.25,2026-02-02,2026-01-01,Cancelled,North,21.44,53
12142,Bob Miller,user12142@example.com,Home,31,6.98e+02,3282.45,ASAP,2026-01-26,Paid,East,43.86,
2629,Alice Davis,óúá©íó®óééñéíé®ó©ééé,Clothing/Furniture/Home,43,,-9999,2025-05-15,2026-03-03,Refunded,Central,6.11,75
431,na,user431@example.com,Furniture,26,286.15,1,2026-04-02,2026-02-05,Refunded,West,,0
13340,N/A,user13340@example.com,Home,,999999999.99,-100,2025-12-14,2026-04-22,Refunded,North,27.6,43.567
4762,Grace Smith,user4762@example.com,Books,71,401.19,3376.26,2025-11-05,2025-11-14,Pending,South,87%,85
2184,Eve Johnson,user2184@example.com,Toys,76,437.38,4461.13,2025-08-06,2025-07-24,2,Central,37.47,55
10391,Alice Davis,user10391@example.com,Furniture,26,474.02,393.88,1900-01-01,2025-10-03,Refunded,East,34.84,67
5264,Frank Garcia,user5265@example.com,Electronics,89,411.76,2695.91,2026-03-09,2025-06-02,0,North,40.9,34
6778,Bob Smith,user6778@example.com,sPOrts,9,279.64,387.11,2025-08-07,2026-04-05,Failed,West,32.09,32
2589,Eve Jones,@@@@@,Home,62xv,436.24,1472.04,2026-01-09,2026-04-29,Paid,North,48.03,64
384,DiAna joNes,null@null,Home,88,236.85,2108.32,2026-04-15,2025-08-28,pAiD,East,29.02,55
8050,Alice Brown,,,ABCDEF,207.75,,2026-03-22,2025-07-13,Refunded,North,17.29,68
4186,Henry Garcia,user4186@example.com,cLoTHIng,89,83.39,3906.34,1850-06-15,2025-05-20,Refunded,West,16.64,19
1087,,user1087@example.com,Home,999999999,9.37e+02,3839.08,2025-09-25,2025-07-05,Cancelled,Central,99999,18
5094,Frank Jones,user5094@example.com,Toys/Clothing/Home,81,,79.93,2026-01-03,2025-05-29,Paid,"40.60,130.75",20.26,71
6396,Henry Smith,---6396___@test.test.test.test,TODO,66,$351.34,-0.01,2025-10-16,2026-04-12,Paid,North,-999,52
