order_id,customer_name,phone,order_date,delivery_date,quantity,unit_price,total_amount,product_category,shipping_status
1067,Jane Smith,0823494111,2024-02-14,2024-03-08,84,308,25872,Books,pending
1068,John Doe,0543412542,2024-12-07,2025-01-04,67,170,11390,Food,pending
1069,Jane Smith,0856881618,2024-04-23,2024-05-23,74,498,36852,Electronics,shipped
1070,John Doe,0391651334,2024-03-04,2024-03-26,13,12,156,Books,shipped
1071,Jane Smith,33716470999,2024-07-26,2024-08-25,-6,338,-2028,Books,shipped
1072,John Doe,0949080318,2024-05-19,2024-06-09,12,489,5868,Food,pending
1073,Jane Smith,0271494637,2024-07-22,2024-08-01,48,392,18816,Clothing,delivered
1074,John Doe,0705771555,2024-02-02,2024-02-20,15,238,3570,Electronics,shipped
1075,Jane Smith,0148629555,2024-07-12,2024-08-10,61pcs,27795,1695495,Books,shipped
1076,John Doe,0679069250,2024-03-21,2024-04-03,1,227,227,Food,pending
ORD-77,Jane Smith,0358413465,2024-04-03,2024-04-26,N/A,81,0,Food,shipped
1078,John Doe,0395444277,2024-01-18,2024-02-08,N/A,366,0,Books,delivered
1079,Jane Smith,0669074377,2024-03-13,2024-04-12,25,,38607,Books,shipped
1080,JOHN,0909956465,2024-08-08,2024-08-16,69,248,47444,Clothing,delivered
1081,,0873106931,2024-07-10,2024-08-06,44,261,11484,Books,delivered
1082,John Doe,33978316418,2024-12-05,2024-11-26,79,-273,,Food,PENDING
1083,Jane Smith,(934) 462-5379,2024-02-12,2024-03-06,84,-208,-17472,Electronics,shipped
1084,John Doe,0145689604,2024-04-07,2024-04-16,10pcs,101,1010,Books,delivered
1085,Jane Smith,0911329267,2024-12-05,2024-12-29,10,406,4060,Clothing,shipped
1086,John Doe,0364623437,2024-12-03,2024-12-24,12,21202,254424,Electronics,delivered
1087,Jane Smith,0942284665,2024-06-28,2024-07-01,32,164,5248,Food,shipped
1088,John Doe,0245480775,2024-05-01,2024-05-27,84,112,9408,Books,shipped
1089,Jane Smith,0735898931,2024-09-06,2024-09-21,89,81,7209,Books,pending 
1090,John Doe,0683734594,2024-01-26,2024-02-15,85,340,28900,Books,pending
1091,Jane Smith,0519977113,2024-08-25,2024-08-26,11,243,2673,Books,delivered
1092,John Doe,0895094534,2024-04-17,2024-05-02,82,240,19680,Electronics,delivered
1093,Jane Smith,0666629680,2024-11-11,2024-11-23,87,78,6786,ELECTRONICS,shipped
1094,John Doe,0792842747,2024-03-18,2024-04-14,2,344,688,Books,pending
1095,Jane Smith,0897272900,2024-08-18,2024-09-05,6,386,2316,Books,pending
1096,John Doe,0731278472,2024-12-12,2025-01-01,8,370,2960,Electronics,shipped
1097,Jane Smith,0368088898,2024-03-23,2024-04-05,54,216,11664,Books,Unknown Status
1098,John Doe,0484638726,2024-02-26,2024-03-04,71,359,,Electronics,shipped
1099,Jane Smith,0797929178,2024-05-06,2024-05-18,22,229,5038,electronics,pending 
1100,,0553456129,2024-12-05,2024-12-31,18,356,6408, Electronics ,delivered
1101,Jane Smith,0207873599,2024-03-25,2024-04-08,11,491,5401,Clothing,pending
1102,John Doe,0785135687,2024-10-03,2024-11-02,54,404,38593,ELECTRONICS,shipped
1103,Jane Smith,0188506190,2024-11-18,2024-11-21,69,339,45888,Clothing,pending
1104,John Doe,33815197502,2024-03-16,2024-04-09,35,229,8015,Electronics,pending
1105,Jane Smith,0716233644,2024-11-24,,-10,449,46894,Food,shipped
1106,john,0156556289,2024-03-08,2024-03-11,40,-103,-4120,Food,pending
1107,Jane Smith,0125673445,2024-04-18,2024-04-29,85pcs,131,11135,Food, PENDING
1108,John Doe,0191163279,2024-10-04,2024-10-23,31,435,13485,Clothing,pending
1109,Jane Smith,0927142786,2024-04-15,2024-04-21,78,22482,1753596,Electronics,pending
ORD-110,John Doe,0596115163,2024-02-26,2024-03-22,48,479,,electronics,shipped
1111,Jane Smith,0877851703,2024-07-16,2024-07-09,36,341,12276,Food,delivered
1112,John Doe,0510704185,2024-12-12,2024-12-31,41,$416,17056,Clothing,delivered
1113,Jane Smith,0335591393,2024-10-28,2024-11-25,95,-359,-34105,Books,pending
1114,John Doe,N/A,2024-10-07,2024-11-02,N/A,450,0,Electronics,pending
1115,Jane Smith,0859331874,2024-09-23,2024-10-15,89,-360,-32040,Electronics,delivered
1116,John Doe,0355546183,2024-06-11,2024-07-04,2,65,,Clothing,shipped
1117,Jane Smith,0914157804,2024-11-08,2024-11-18,34pcs,384,6201,Books,delivered
1118,John Doe,0303994042,2024-07-23,2024-08-14,N/A,228,43486,Electronics, PENDING
1119,Jane Smith,0605672755,2024-08-22,2024-09-03,34,87,2958,ELECTRONICS,delivered
1120,John,0675004218,2024-11-28,2024-12-08,65,85,5525,Clothing,shipped
1121,Jane Smith,0738927559,2024-05-11,2024-05-24,67,277,18559,Electronics,pending
1122,John Doe,0803072911,2024-08-19,2024-08-24,51,481,24531,Food,delivered
1123,Jane Smith,0931109347,2024-06-09,2024-06-24,98,43,4214,Electronics,pending
1124,John Doe,0394181098,2024-06-27,2024-07-19,48pcs,292,14016,Electronics,pending
1125,Jane Smith,0321975705,2024-05-21,2025-13-45,N/A,,0,Food,shipped
1126,John Doe,0727588309,2024-02-01,2024-02-13,88,451,39688,Clothing,pending
1127,Jane Smith,0874471936,2024-01-21,2024-02-03,-1,336,-336,Clothing,pending
1128,John Doe,0296568144,2024-11-11,2024-12-09,34,334,11356, Electronics ,shipped
1129,Jane Smith,0467938988,2024-07-19,2024-08-16,81,117,9477,Electronics,shipped
1130,John Doe,0884539206,2024-12-12,2024-12-22,38,361,13718,Clothing,shipped
ORD-131,Jane Smith,N/A,2024-09-06,2024-09-19,7,$56,,Books,delivered
1132,John Doe,0811335671,2024-09-09,2024-10-08,15,435,6525,Electronics,delivered
1133,,0996823706,2024-10-22,2024-10-25,30,426,,Food,pending
ORD-134,John Doe,0767660223,2024-05-24,2024-06-06,89,67,5963,Electronics,delivered
1135,Jane Smith,N/A,2024-11-27,2024-12-13,N/A,402,0,Food,delivered
1136,John Doe,0513258121,2024-03-27,2024-03-28,64,152,14695,Clothing,PENDING
1137,Jane Smith,0634050562,2024-12-21,2024-12-14,N/A,270,0,Electronics,shipped
1138,John Doe,0222431652,2024-02-25,2025-13-45,71,81,5751,Clothing,shipped
1139,Jane Smith,0149929379,2024-11-27,2024-12-12,64,49248,28464,Clothing,pending
1140,John Doe,0549537843,2024-10-23,2024-11-02,90,170,15300,Food,pending
1141,Jane Smith,0446154387,2024-12-04,2024-12-26,69,22,1518,ELECTRONICS,shipped
1142,John Doe,0681079105,2024-01-12,2024-02-05,50,350,25107,Food,delivered
1143,Jane Smith,0780525215,2024-12-23,2025-01-12,58,273,,Clothing,shipped
1144,,0930712117,2024-11-20,2024-12-08,29,288,8352,Food,delivered
1145,Jane Smith,N/A,2024-11-12,2024-12-02,-5,380,-1900,Books,delivered
1146,John Doe,0677646075,2024-09-01,2024-09-08,69,428,29532,Food,pending
1147,Jane Smith,0377721135,2024-07-13,2024-07-26,80,193,15440,Electronics,shipped
1148,John Doe,0519825069,2024-09-10,2024-10-10,2,,0,Food,delivered
1149,Jane Smith,0820457041,2024-10-28,2024-10-19,9,192,1728,Electro­nics, PENDING
1150,John Doe,0707256840,2024-10-12,2024-10-23,56,255,14280,Clothing,shipped
1151,Jane Smith,0182100852,2024-12-03,2024-12-30,5,406,2030,Food,pending
1152,John Doe,0759316106,2024-11-06,2024-11-25,95,128,24311,Food,pending
ORD-153,Jane Smith,0393663355,2024-12-09,2024-12-22,67,428,28676,Clothing,delivered
1154,John Doe,0227056105,2024-11-08,2024-11-30,53,3827,202831,Clothing,Pending 
1155,Jane Smith,0872608028,2024-12-22,2025-01-11,53,347,18391,Electronics,pending
ORD-156,John Doe,0750162509,2024-02-06,,62,,0,Electronics,shipped
1157,Jane Smith,0848084089,2024-10-04,2024-11-03,53,$381,20193,Electronics,shipped
1158,John Doe,0675638242,2024-07-19,2024-08-13,23,186,4278,Electronics,delivered
1159,Jane Smith,0759304715,2024-12-22,2024-12-23,77,29,2233,Food,pending
1160,John Doe,0407097155,2024-04-02,2024-04-22,-7,214,-1498,Electronics,delivered
1161,Jane Smith,0751077748,2024-04-15,2024-04-29,44,426,18744,Books,shipped
1162,John Doe,0510892271,2024-11-26,2024-12-07,90,430,38700,Clothing,delivered
1163,Jane Smith,0384976854,2024-04-08,2024-04-13,85,$439,,Books,delivered
1164,John Doe,0338470307,2024-10-05,2024-09-28,51,275,14025, Electronics ,shipped
1165,Jane Smith,0758293983,2024-06-12,2024-07-07,24,379,9096,Clothing,shipped
1166,John Doe,0655132014,2024-09-24,2024-10-22,8,391,3128,Food,shipped
1167,Jane Smith,0287409640,2024-05-12,2024-05-27,81,225,18225,Clothing,delivered
1168,John Doe,0489945274,2024-12-19,2025-01-16,94pcs,117,10998,electronics,Unknown Status
1169,Jane Smith,0803121225,2024-07-10,2024-07-15,N/A,455,0,Clothing,delivered
1170,John Doe,0472769123,2024-08-18,2024-09-01,N/A,14,0,Books,pending
1171,Jane Smith,0867658814,2024-12-21,2025-01-04,79,424,33496, Electronics ,delivered
1172,John Doe,0674420474,2024-01-06,2024-01-21,64,200,12800,Clothing,PENDING
1173,Jane Smith,0989328868,2024-01-04,2024-01-19,95,358,34010,Electronics,pending
1174,JOHN,0566177523,2024-06-01,2024-06-27,89,90,8010,Electronics, PENDING
1175,Jane Smith,0946711815,2024-11-25,2024-11-26,6,107,642,Clothing, PENDING
1176,John Doe,0643267978,2024-07-24,2025-13-45,93,359,33387,Food,pending
ORD-177,Jane Smith,(132) 684-7366,2024-09-20,2024-10-10,-7,337,36670,Food,delivered
1178,  John  ,0331820924,2024-09-04,2024-09-11,23,305,7015,Clothing,delivered
1179,Jane Smith,0438395096,2024-09-11,2024-10-08,28,241,6748,Electronics,shipped
ORD-180,John Doe,0840580333,2024-05-18,2024-05-22,46pcs,141,6486,Electronics,pending
1181,Jane Smith,0789615654,2024-05-02,2024-05-04,56,344,19264,Electronics,Unknown Status
1182,John Doe,0885526510,2024-07-15,2024-07-29,11,214,2354,Clothing,pending
1183,Jane Smith,0561779564,2024-06-22,2024-07-06,84,20976,1761984,Clothing,pending
1184,John Doe,0158559749,2024-04-20,2024-04-21,61,14697,896517,Books,delivered
1185,jOhN ,0374294163,2024-03-02,2024-03-04,85,19,1615,Electronics,delivered
1186,John Doe,0123073060,2024-01-08,2024-02-01,81,41,3321,Electronics,pending
1187,Jane Smith,(346) 686-3502,2024-05-20,2024-05-25,18,475,8550,Food,pending 
1188,John Doe,0921879587,2024-06-14,2024-07-11,100,-314,-31400,Clothing,delivered
1189,Jane Smith,0297543237,2024-07-16,2024-07-30,-6,114,28888,Food,shipped
1190,John,0897218787,2024-10-20,2024-10-22,6,30,180,,shipped
1191,Jane Smith,0840831347,2024-09-05,2024-09-22,90,,0,Electronics,delivered
1192,John Doe,0489707503,2024-02-17,2024-03-08,99,93,9207,Food,shipped
1193,Jane Smith,0371775842,2024-01-15,2024-02-04,61,,0,Clothing, PENDING
1194,John Doe,33720722322,2024-07-06,2024-07-29,59,-394,-23246,Books,shipped
1195,Jane Smith,0847141233,2024-04-20,2024-04-10,62,228,14136,Food,shipped
1196,John Doe,0860839571,2024-05-07,2024-05-06,27,296,7992,Food,delivered
1197,Jane Smith,0710874853,2024-10-01,2024-10-31,83,468,38844,Food,delivered
1198,John Doe,0479670326,2024-02-05,2024-02-26,24,171,4104, Electronics ,shipped
1199,Jane Smith,0199432918,2024-08-17,2024-08-09,62,456,33926,Electronics,delivered
1200,,0457867151,2024-08-02,2024-08-03,42,353,14826,,pending
1201,Jane Smith,0716416868,2024-04-06,2024-03-27,4,228,912,Books,pending
1202,John Doe,0600036589,2024-10-05,2024-10-09,60,142,8520,Food,Unknown Status
1203,Jane Smith,0749012758,2024-10-05,2024-10-09,69,91,6279,Books,shipped
1204,John Doe,8888773421,2024-09-04,2024-09-07,49,81,3969,,delivered
1205,Jane Smith,0421838360,2024-10-26,2024-11-09,75,34451,2583825,Electronics,pending 
1206,John Doe,0854005004,2024-10-13,2024-10-27,25,157,3925,Electronics,delivered
1207,Jane Smith,0589657032,2024-12-20,2025-01-03,24,$256,6144,Food,pending
1208,John Doe,0252565264,2024-12-24,2025-01-02,12,360,4320,Food,Unknown Status
1209,Jane Smith,0957085656,2024-05-10,2024-05-20,61,387,23607,Electro­nics,Pending 
1210,John Doe,0748348443,2024-03-19,2024-03-25,68,488,33184,Books,delivered
1211,Jane Smith,(153) 271-8602,2024-08-10,2024-08-18,19,205,3895,,shipped
1212,John Doe,0374173441,2024-11-19,2024-12-13,87,435,27051,Electronics,delivered
1213,,(188) 976-3128,2024-11-25,2024-12-24,85,228,19380,Electronics,shipped
1214,john,0315466821,2024-10-13,2024-11-07,57,138,,Electronics,shipped
1215,Jane Smith,0927844881,2024-01-13,2024-02-01,39,283,11037,Food,pending
1216,John Doe,0839639093,2024-06-16,2024-06-21,4pcs,286,1144,Electronics,pending
1217,Jane Smith,0661695439,2024-08-22,2024-08-30,-8,$465,,Clothing,pending
1218,John Doe,0633803762,2024-10-26,2024-11-06,42,416,,Food,delivered
1219,Jane Smith,0949385932,2024-11-20,2024-11-23,23pcs,365,8395,Food,pending
1220,JOHN,0194512033,2024-11-27,,13,247,3211,Clothing,shipped
1221,Jane Smith,33491049332,2024-02-24,2024-02-15,15,224,3360,Food,shipped
1222,John Doe,0568006548,2024-03-07,2024-03-12,35,79,2765,Clothing,delivered
1223,Jane Smith,0542055365,2024-09-16,2024-10-01,32,494,15808,Electronics,PENDING
1224,John Doe,0848026005,2024-02-15,2024-03-09,38,-343,-13034,Electronics,pending
1225,Jane Smith,0780110550,2024-01-28,2024-02-14,55pcs,116,6380,Electronics,shipped
1226,John Doe,0288191943,2024-11-18,2024-11-23,62,395,24490,Books,shipped
1227,Jane Smith,0986243970,2024-09-10,2024-10-03,59,49,2891,Clothing,shipped
1228,John Doe,0892109271,2024-11-01,2024-11-09,75,366,27450,Food,shipped
1229,Jane Smith,0278630985,2024-10-06,2024-11-02,21,$163,3423,Electronics,pending
1230,John Doe,0534395495,2024-08-25,2024-08-26,83,303,25149,Food,pending
1231,Jane Smith,0578859534,2024-06-03,2024-06-20,3,272,816,Electronics,pending
1232,John Doe,(320) 845-8278,2024-08-10,2024-09-03,12,181,38810,Books,pending
1233,Jane Smith,0509921918,2024-05-18,2024-06-06,4,335,1340,Books,pending
1234,John Doe,(679) 546-5225,2024-12-27,2025-01-24,60,224,13440,ELECTRONICS,delivered
1235,Jane Smith,0446396476,2024-06-27,2024-07-20,19,34958,664202,Clothing,pending
1236,John Doe,0671333359,2024-12-18,2025-01-17,62,315,19530,Electronics,pending
1237,Jane Smith,0919290447,2024-02-03,2024-01-26,-9,44239,-398151,ELECTRONICS,Pending 
1238,John Doe,0314774593,2024-03-22,2024-03-31,65,429,,Food,pending
1239,Jane Smith,0493486679,2024-12-19,2025-01-15,30,276,8280,Electronics,PENDING
1240,John Doe,0576693984,2024-04-18,2024-05-16,61pcs,-346,-21106,Electronics,delivered
1241,Jane Smith,0313767380,2024-06-07,2024-07-04,99,214,21186,Food,pending
1242,John Doe,0156749852,2024-02-16,2024-03-09,98,113,11074,Electronics,Unknown Status
1243,Jane Smith,0593552134,2024-01-02,2024-01-31,92,293,26956,Electronics,shipped
1244,John Doe,N/A,2024-01-05,2024-01-06,55,136,7480,Electronics,pending
ORD-245,Jane Smith,0552230665,2024-05-01,2024-05-14,63,401,25263,Clothing,pending
1246,John Doe,33715813155,2024-10-11,2024-10-25,39,222,8658,Clothing,delivered
1247,Jane Smith,0601754527,2024-05-21,2024-06-04,26,163,4238,Clothing,shipped
1248,John Doe,0306068248,2024-01-08,2024-01-22,35,100,,Electronics,delivered
1249,John,0196965642,2024-07-27,2024-08-20,75,131,9825,Books,shipped
1250,John Doe,0732950344,2024-01-16,2024-02-03,19,,0,Electronics,pending
1251,Jane Smith,0835779800,2024-02-18,2024-03-19,39,465,18135,Books,pending
1252,John Doe,0870287372,2024-07-27,2024-07-30,95,104,9880,Food,pending
1253,Jane Smith,0737819952,2024-11-14,2024-12-08,42,458,19236,,pending 
1254,John Doe,0852973431,2024-03-02,2024-03-05,2,354,708,Food,pending
1255,Jane Smith,0303327154,2024-07-06,2024-07-15,75,-69,-5175,Books,shipped
1256,John Doe,0480428530,2024-10-22,2024-10-24,65pcs,466,30290,Food,shipped
1257,Jane Smith,0636023317,2024-05-24,2024-06-02,41,496,20336,Electronics,pending
ORD-258,John Doe,0631406400,2024-01-15,2024-01-31,45,270,12150,Electronics,shipped
1259,Jane Smith,5818914408,2024-03-01,2024-03-16,43,384,16512,Electronics,pending
1260,John Doe,0291137642,2024-07-25,2024-07-30,40,198,7920,Books,PENDING
1261,Jane Smith,N/A,2024-06-15,2024-07-15,38,75,2850,Electronics,delivered
1262,John Doe,0372065061,2024-06-09,,51,28279,1442229,Books,pending
1263,jOhN ,0565788042,2024-09-01,2024-08-30,84pcs,318,26712,Books,pending
ORD-264,,0324658446,2024-08-21,2024-09-18,60,388,23280,Clothing,shipped
1265,John,0891431808,2024-10-20,,87,19,1653,electronics,delivered
1266,John Doe,0879761120,2024-10-22,2024-11-13,50,417,20850,Electronics,pending
1267,Jane Smith,0352027504,2024-04-18,2024-04-17,23,-33,-759,Books,shipped
1268,John Doe,0653393055,2024-10-22,2024-11-17,14,297,7008,Clothing,shipped
1269,Jane Smith,0490559533,2024-06-27,2024-07-11,-3,396,-1188,Books,shipped
1270,John Doe,0488452267,2024-01-15,2025-13-45,41,28,1148,Food,delivered
1271,Jane Smith,N/A,2024-05-17,2024-06-07,84,407,34188,ELECTRONICS,pending
1272,John Doe,0465833373,2024-11-06,2024-10-28,93,142,13206,Electronics,pending
1273,Jane Smith,0774035360,2024-11-18,2024-12-10,92,108,9936,electronics,pending
1274,John Doe,(992) 370-9172,2024-08-23,2024-09-19,59,118,,Electronics,pending
1275,Jane Smith,0502073105,2024-05-10,2024-05-29,37,188,3028,Books,shipped
1276,John Doe,0917846365,2024-08-22,2024-09-17,51,$344,17544,Electronics,delivered
1277,Jane Smith,0681790182,2024-01-09,2024-02-07,42,$442,18564,,pending
1278,John Doe,0196237938,2024-03-10,2024-03-21,13,433,5629,Clothing,shipped
1279,Jane Smith,0131038055,2024-07-21,2024-08-09,17,114,1938,Clothing,delivered
1280,John,0801216599,2024-03-01,2024-02-22,45,92,4140,Electronics,shipped
1281,Jane Smith,0467901802,2024-11-09,2024-12-01,77,321,24717,Books,delivered
1282,John Doe,0232516483,2024-06-27,2024-07-24,N/A,20,0,Food,shipped
1283,John,0324504731,2024-01-07,2024-01-16,85,311,26435,Clothing,shipped
1284,John Doe,0371571930,2024-11-18,2025-13-45,42,248,10416, Electronics ,PENDING
1285,Jane Smith,0967232189,2024-01-24,2024-02-23,81,$222,17982,Food,shipped
1286,John Doe,0744207194,2024-10-15,2024-10-18,89,164,14596,Electronics,shipped
1287,Jane Smith,0770023660,2024-01-15,2024-02-04,4,314,1256,Clothing,shipped
1288,John Doe,N/A,2024-03-10,2024-03-22,19,275,5225,Electro­nics,pending
1289,Jane Smith,0466738585,2024-04-22,2024-05-15,79,476,14478,Clothing,shipped
1290,John Doe,0297831034,2024-01-12,2024-01-06,15pcs,194,2045,Clothing,shipped
1291,Jane Smith,0208652175,2024-01-27,2024-01-31,48,329,15792, Electronics ,pending
1292,John Doe,0362583172,2024-01-25,2024-02-20,36,117,4212,Clothing,delivered
1293,Jane Smith,0664225204,2024-12-16,2024-12-29,27,166,4482,Food,pending
1294,John Doe,(561) 578-8086,2024-06-26,,11,151,1661,Electronics,delivered
1295,Jane Smith,0857678011,2024-10-05,2024-11-04,45,345,42966,Clothing,delivered
1296,John Doe,0875789582,2024-08-11,2024-09-05,72,10106,727632,,shipped
1297,Jane Smith,0421733001,2024-06-19,2024-06-18,43,210,9030,Clothing,shipped
1298,John Doe,0987420587,2024-12-20,2025-01-02,9,-168,-1512,Books,pending
1299,Jane Smith,0748228085,2024-10-10,2024-10-19,52,261,13572,Books,shipped
1300,John Doe,0763289534,2024-12-14,2025-01-02,N/A,351,0,Books,pending
1301,  John  ,0540337297,2024-08-06,2024-08-09,44,,0,Books,delivered
1302,John Doe,0283168644,2024-01-20,2024-02-02,N/A,467,0,Electronics,pending
1303,John,0502271684,2024-04-07,2024-04-18,13,222,2886,Clothing,shipped
1304,John Doe,0439560357,2024-01-13,2024-01-22,28,374,10472,Electronics,delivered
1305,Jane Smith,0917886628,2024-12-11,2024-12-12,82,,49837,Books,pending
1306,John Doe,0355619239,2024-12-20,2024-12-25,67,127,8509,Clothing,pending
1307,Jane Smith,N/A,2024-08-03,2024-08-10,27,379,10233,Books,shipped
1308,John Doe,0642553751,2024-10-24,2024-11-09,49pcs,285,13965,Books,shipped
1309,Jane Smith,0113780688,2024-09-24,2024-10-07,83,73,6059,Food,shipped
1310,John Doe,0555309840,2024-12-08,2024-12-29,0,140,0,Electronics,shipped
1311,Jane Smith,0554133586,2024-03-27,2024-04-14,53,303,16059,Books,Unknown Status
1312,John Doe,0547581039,2024-11-10,2024-12-03,15,103,1545,Books,delivered
1313,Jane Smith,0728833035,2024-04-16,,6,-309,-1854,Food,delivered
1314,John Doe,0506342236,2024-10-02,2024-10-03,18,9054,162972,Food,shipped
1315,,0445941982,2024-01-21,2024-02-01,95,486,46170,Books,pending
1316,John Doe,N/A,2024-08-26,2024-09-23,62,347,21514,,shipped
1317,Jane Smith,0232175587,2024-11-05,2024-12-01,99,390,38610,Books,pending
1318,John Doe,0224668108,2024-10-12,2024-11-05,8pcs,404,3232,Clothing,Unknown Status
1319,Jane Smith,0830123959,2024-08-05,2024-08-31,-5,371,-1855,Books,Pending 
1320,John Doe,0889979323,2024-01-28,2024-02-07,3,397,1191,Clothing,pending
1321,Jane Smith,0861913813,2024-05-15,2024-05-31,96,62,5952,Books,pending
1322,John Doe,0798037200,2024-07-16,2024-08-09,85,333,28305,Books,pending
