Unnamed: 0,num_reservation,passeport,pension,date_arrive,date_depart,qte_chambre,adultes,enf_payant,enf_gratuit,bebe,segment
31,RKC1WC0,P51596648,DP,2024-07-13,2024-07-15,1.0,2.0,0.0,0.0,0.0,2-Agences
32,RUYX5ES,P69464858,ALL IN,2024-07-13,2024-07-18,1.0,2.0,0.0,0.0,0.0,4-OTA
33,RX958ND,P66322100,ALL IN,2024-07-13,2024-07-18,1.0,2.0,0.0,0.0,0.0,4-OTA
34,R9J1R2Z,P56750777,DP,2024-07-13,2024-07-15,1.0,2.0,0.0,0.0,0.0,1-TO
35,R58YDQV,P78843249,DP,2024-07-13,2024-07-15,1.0,2.0,0.0,0.0,0.0,1-TO
36,RO88RH8,P64908523,DP,2024-07-13,2024-07-14,1.0,2.0,0.0,0.0,0.0,2-Agences
37,RUFU4DU,P38930171,DP,2024-07-13,2024-07-18,1.0,2.0,0.0,0.0,0.0,5-Individuel
38,RYGOOAN,P96063080,DP,2024-07-13,2024-07-18,1.0,2.0,0.0,0.0,0.0,5-Individuel
39,RMUQNWI,P96575481,DP,2024-07-13,2024-07-14,1.0,2.0,0.0,0.0,0.0,2-Agences
40,RHRV4KK,P56456088,DP,2024-07-13,2024-07-15,1.0,2.0,0.0,0.0,0.0,2-Agences
41,ROYBDBQ,P73584804,DP,2024-07-13,2024-07-15,1.0,2.0,0.0,0.0,0.0,2-Agences
42,RCDLRPZ,P74103385,ALL IN,2024-07-12,2024-07-19,1.0,3.0,0.0,0.0,0.0,1-TO
43,RH935XZ,P90515817,ALL IN,2024-07-12,2024-07-19,1.0,2.0,1.0,0.0,0.0,1-TO
44,RV8GOIY,P18974697,ALL IN,2024-07-12,2024-07-19,1.0,2.0,0.0,0.0,0.0,1-TO
45,RB53PM4,P23785459,DP,2024-07-12,2024-07-14,1.0,2.0,1.0,0.0,0.0,2-Agences
46,RUG07DX,P20451965,ALL IN,2024-07-12,2024-07-18,1.0,2.0,0.0,0.0,0.0,1-TO
47,R03DPP0,P16391093,ALL IN,2024-07-12,2024-07-21,1.0,2.0,1.0,0.0,0.0,1-TO
48,RIODBDR,P68239010,ALL IN,2024-07-12,2024-07-19,1.0,2.0,0.0,0.0,0.0,1-TO
49,RIY5DWW,P95893921,ALL IN,2024-07-12,2024-07-19,1.0,2.0,0.0,0.0,0.0,1-TO
50,R6E73ZR,P38743612,ALL IN,2024-07-12,2024-07-19,1.0,1.0,0.0,0.0,0.0,4-OTA
51,RNKJ1O2,P54064975,ALL IN,2024-07-12,2024-07-19,1.0,2.0,0.0,0.0,0.0,4-OTA
52,R998BU9,P11621107,ALL IN,2024-07-12,2024-07-19,1.0,2.0,0.0,0.0,0.0,1-TO
53,RG692Q7,P41002483,ALL IN,2024-07-12,2024-07-21,1.0,1.0,0.0,0.0,0.0,1-TO
54,RR4TZXY,P12972355,ALL IN,2024-07-12,2024-07-19,1.0,2.0,0.0,0.0,0.0,1-TO
55,R4D54YQ,P47814825,ALL IN,2024-07-12,2024-07-15,1.0,2.0,1.0,0.0,0.0,2-Agences
56,R3TW088,P64872285,DP,2024-07-12,2024-07-16,1.0,2.0,0.0,0.0,0.0,2-Agences
57,RF8YNKL,P86339271,DP,2024-07-12,2024-07-16,1.0,1.0,1.0,0.0,0.0,2-Agences
58,R543X6W,P99954498,ALL IN,2024-07-12,2024-07-19,1.0,2.0,0.0,0.0,0.0,1-TO
59,RYSVX9U,P65469742,DP,2024-07-12,2024-07-14,1.0,2.0,0.0,0.0,0.0,1-TO
60,RYDLZD2,P52367905,DP,2024-07-12,2024-07-14,1.0,2.0,0.0,0.0,0.0,1-TO
61,R93LQB7,P79780081,DP,2024-07-12,2024-07-14,1.0,2.0,0.0,0.0,0.0,1-TO
62,RM1TV42,P78021564,DP,2024-07-12,2024-07-14,1.0,3.0,0.0,0.0,0.0,1-TO
63,RL7C56X,P51609567,DP,2024-07-12,2024-07-14,1.0,3.0,0.0,0.0,0.0,1-TO
64,R7XIOC0,P15000209,DP,2024-07-12,2024-07-15,1.0,2.0,0.0,0.0,0.0,2-Agences
65,R92K6TQ,P95932543,DP,2024-07-12,2024-07-15,1.0,2.0,0.0,0.0,0.0,2-Agences
66,R28GG4I,P20778833,DP,2024-07-12,2024-07-14,1.0,1.0,1.0,0.0,0.0,1-TO
67,R1E8009,P24685292,ALL IN,2024-07-12,2024-07-23,1.0,2.0,0.0,0.0,0.0,1-TO
68,RYOBJ3N,P69913620,DP,2024-07-12,2024-07-17,1.0,2.0,1.0,0.0,0.0,2-Agences
69,RPWV6BY,P67418306,DP,2024-07-12,2024-07-14,1.0,2.0,0.0,0.0,0.0,2-Agences
70,RB099RY,P03097373,DP,2024-07-12,2024-07-16,1.0,3.0,0.0,0.0,0.0,2-Agences
71,R4AZTK7,P00710049,DP,2024-07-12,2024-07-16,1.0,3.0,0.0,0.0,0.0,2-Agences
72,R7P52GI,P87448378,DP,2024-07-12,2024-07-14,1.0,2.0,0.0,0.0,0.0,2-Agences
73,R42P2TD,P89396741,ALL IN,2024-07-12,2024-07-19,1.0,2.0,0.0,0.0,0.0,1-TO
74,R6O8VWE,P89853985,ALL IN,2024-07-12,2024-07-19,1.0,3.0,0.0,0.0,0.0,1-TO
75,RJP434Z,P58589284,ALL IN,2024-07-12,2024-07-19,1.0,3.0,0.0,0.0,0.0,1-TO
76,RQD555H,P76819344,DP,2024-07-12,2024-07-18,1.0,2.0,1.0,0.0,0.0,2-Agences
77,R1HPJUD,P69029878,LPD,2024-07-12,2024-07-13,1.0,2.0,0.0,0.0,0.0,4-OTA
78,RY5DPUM,P18514031,ALL IN,2024-07-12,2024-07-19,1.0,3.0,0.0,0.0,0.0,1-TO
79,R2WHWFP,P31344915,ALL IN,2024-07-12,2024-07-21,1.0,2.0,1.0,0.0,0.0,1-TO
80,R5N5TWR,P99889345,ALL IN,2024-07-12,2024-07-18,1.0,3.0,0.0,0.0,0.0,1-TO
81,RIXYDWR,P32308682,DP,2024-07-12,2024-07-14,1.0,2.0,0.0,0.0,0.0,2-Agences
82,R986BCY,P28906127,DP,2024-07-12,2024-07-13,1.0,3.0,0.0,0.0,0.0,2-Agences
83,RFSHOFG,P28020635,ALL IN,2024-07-12,2024-07-19,1.0,2.0,0.0,0.0,0.0,1-TO
84,RWH659S,P15345549,ALL IN,2024-07-12,2024-07-19,1.0,2.0,0.0,0.0,0.0,1-TO
85,RVRPER9,P48253307,ALL IN,2024-07-12,2024-07-19,1.0,2.0,0.0,0.0,0.0,1-TO
86,RYZA8UV,P94652363,ALL IN,2024-07-12,2024-07-19,1.0,2.0,0.0,0.0,0.0,1-TO
87,R5ABTTB,P61082148,ALL IN,2024-07-12,2024-07-19,1.0,2.0,0.0,0.0,0.0,1-TO
88,RSGN5FP,P21105885,ALL IN,2024-07-12,2024-07-18,1.0,2.0,0.0,0.0,0.0,1-TO
89,R5P6JAJ,P36694930,ALL IN,2024-07-12,2024-07-21,1.0,2.0,0.0,0.0,0.0,1-TO
90,R4BKXJJ,P99126663,ALL IN,2024-07-12,2024-07-21,1.0,2.0,0.0,0.0,0.0,1-TO
91,R4RE6FL,P79620690,ALL IN,2024-07-12,2024-07-19,1.0,2.0,0.0,0.0,0.0,1-TO
92,RI77DJP,P42368755,ALL IN,2024-07-12,2024-07-19,1.0,2.0,0.0,0.0,0.0,1-TO
93,RRSZAZ3,P74611756,ALL IN,2024-07-12,2024-07-19,1.0,2.0,0.0,0.0,0.0,1-TO
94,R7BPLVI,P06406556,ALL IN,2024-07-12,2024-07-19,1.0,2.0,0.0,0.0,0.0,1-TO
95,R13NRE6,P73228764,ALL IN,2024-07-12,2024-07-19,1.0,2.0,0.0,0.0,0.0,1-TO
96,R14HLI7,P78761211,ALL IN,2024-07-12,2024-07-23,1.0,2.0,0.0,0.0,0.0,1-TO
97,R4JIFQA,P95906522,ALL IN,2024-07-12,2024-07-19,1.0,2.0,0.0,0.0,0.0,1-TO
98,RRJ60YN,P74367712,ALL IN,2024-07-12,2024-07-19,1.0,2.0,0.0,0.0,0.0,1-TO
99,RM2NMXR,P27541053,ALL IN,2024-07-12,2024-07-19,1.0,2.0,0.0,0.0,0.0,1-TO
100,RSOJZ3H,P04858776,ALL IN,2024-07-12,2024-07-19,1.0,2.0,0.0,0.0,0.0,1-TO
101,RS0GIFQ,P25503668,ALL IN,2024-07-12,2024-07-19,1.0,2.0,0.0,0.0,0.0,1-TO
102,RLFOZ1J,P52628584,DP,2024-07-12,2024-07-18,1.0,2.0,0.0,0.0,0.0,2-Agences
103,RMBDLZV,P73367086,DP,2024-07-12,2024-07-18,1.0,2.0,0.0,0.0,0.0,2-Agences
104,RPH8WR0,P56901679,LPD,2024-07-12,2024-07-13,1.0,2.0,0.0,0.0,0.0,4-OTA
105,RUE14S2,P44928360,ALL IN,2024-07-12,2024-07-19,1.0,2.0,0.0,0.0,0.0,1-TO
106,RWKBVAN,P04439979,ALL IN,2024-07-12,2024-07-19,1.0,2.0,0.0,0.0,0.0,1-TO
107,RKCO40E,P18564013,ALL IN,2024-07-12,2024-07-18,1.0,2.0,0.0,0.0,0.0,1-TO
108,R8GL675,P83450401,ALL IN,2024-07-12,2024-07-18,1.0,2.0,0.0,0.0,0.0,1-TO
109,RMUFJL8,P55516170,DP,2024-07-12,2024-07-13,1.0,2.0,0.0,0.0,0.0,2-Agences
110,RBDCKO4,P97439143,DP,2024-07-12,2024-07-13,1.0,2.0,0.0,0.0,0.0,2-Agences
111,R65L02S,P57050601,ALL IN,2024-07-11,2024-07-18,1.0,2.0,0.0,0.0,0.0,1-TO
112,RFF4OA8,P37044633,ALL IN,2024-07-11,2024-07-17,1.0,2.0,0.0,0.0,0.0,1-TO
113,RQ98N6Z,P28751287,ALL IN,2024-07-11,2024-07-21,1.0,2.0,1.0,0.0,0.0,1-TO
114,RTHE3LU,P28508951,ALL IN,2024-07-11,2024-07-18,1.0,2.0,1.0,0.0,0.0,1-TO
115,RVALQZM,P27057936,ALL IN,2024-07-11,2024-07-23,1.0,3.0,0.0,0.0,0.0,1-TO
116,R0MV4KN,P34191606,ALL IN,2024-07-11,2024-07-18,1.0,2.0,0.0,0.0,0.0,1-TO
117,RG7YGWA,P19157571,ALL IN,2024-07-11,2024-07-17,1.0,2.0,0.0,0.0,0.0,1-TO
118,R6CJAIN,P21960894,ALL IN,2024-07-11,2024-07-17,1.0,2.0,0.0,0.0,0.0,1-TO
119,R6XEX45,P07383408,ALL IN,2024-07-11,2024-07-18,1.0,3.0,0.0,0.0,0.0,1-TO
120,RNF4A6X,P94716967,ALL IN,2024-07-11,2024-07-17,1.0,2.0,0.0,0.0,0.0,1-TO
121,RCGN4KV,P99634639,ALL IN,2024-07-11,2024-07-18,1.0,2.0,0.0,0.0,0.0,1-TO
122,R0RKKZ7,P66903851,ALL IN,2024-07-11,2024-07-18,1.0,2.0,0.0,0.0,0.0,1-TO
123,RSNMIZ4,P32490428,ALL IN,2024-07-11,2024-07-17,1.0,2.0,0.0,0.0,0.0,1-TO
124,RG3L8XB,P26018695,ALL IN,2024-07-11,2024-07-17,1.0,2.0,0.0,0.0,0.0,1-TO
125,RDZ9H29,P56770715,ALL IN,2024-07-11,2024-07-18,1.0,2.0,0.0,0.0,0.0,1-TO
126,R3YU0KG,P90362118,ALL IN,2024-07-11,2024-07-25,1.0,2.0,0.0,0.0,0.0,1-TO
127,R5XE9IY,P25028508,ALL IN,2024-07-11,2024-07-18,1.0,1.0,0.0,0.0,0.0,1-TO
128,RXVPF63,P34786954,DP,2024-07-11,2024-07-13,1.0,2.0,0.0,0.0,0.0,5-Individuel
129,RZUPT42,P59006745,ALL IN,2024-07-11,2024-07-18,1.0,3.0,0.0,0.0,0.0,1-TO
130,R5GPYVC,P25371559,ALL IN,2024-07-11,2024-07-17,1.0,2.0,0.0,0.0,0.0,1-TO
131,RX712FW,P74941722,ALL IN,2024-07-11,2024-07-17,1.0,1.0,1.0,0.0,0.0,1-TO
132,RQ9SLXA,P94098313,ALL IN,2024-07-11,2024-07-18,1.0,1.0,1.0,0.0,0.0,1-TO
133,RU1CM45,P67632071,ALL IN,2024-07-11,2024-07-18,1.0,2.0,0.0,0.0,0.0,1-TO
134,RAJ3ELL,P70256820,ALL IN,2024-07-11,2024-07-16,1.0,3.0,0.0,0.0,0.0,1-TO
135,RBW98NG,P44481968,DP,2024-07-11,2024-07-17,1.0,1.0,1.0,0.0,0.0,2-Agences
136,RW1HLNK,P36134566,DP,2024-07-11,2024-07-17,1.0,2.0,1.0,0.0,0.0,2-Agences
137,R2391Q3,P69102341,DP,2024-07-11,2024-07-17,1.0,3.0,0.0,0.0,0.0,2-Agences
138,RY1MER7,P70994096,ALL IN,2024-07-11,2024-07-17,1.0,2.0,0.0,0.0,0.0,1-TO
139,RU5EWM7,P67382440,ALL IN,2024-07-11,2024-07-16,1.0,2.0,0.0,0.0,0.0,1-TO
140,REYRGI6,P35968517,ALL IN,2024-07-11,2024-07-18,1.0,2.0,0.0,0.0,0.0,1-TO
141,R5VZ0VS,P78688318,ALL IN,2024-07-11,2024-07-18,1.0,2.0,0.0,0.0,0.0,1-TO
142,RA8NPHR,P64023342,DP,2024-07-11,2024-07-16,1.0,2.0,0.0,0.0,0.0,2-Agences
143,RQV87VO,P42221004,ALL IN,2024-07-11,2024-07-18,1.0,2.0,0.0,0.0,0.0,1-TO
144,R2MDTRK,P05749989,ALL IN,2024-07-11,2024-07-18,1.0,2.0,0.0,0.0,0.0,1-TO
145,R43XFU6,P27687483,DP,2024-07-11,2024-07-14,1.0,2.0,0.0,0.0,0.0,2-Agences
146,RQTTMGR,P96115336,DP,2024-07-11,2024-07-17,1.0,2.0,1.0,0.0,0.0,2-Agences
147,R8SR9WF,P94256054,DP,2024-07-11,2024-07-17,1.0,2.0,1.0,0.0,0.0,2-Agences
148,RXQB19B,P70621574,ALL IN,2024-07-11,2024-07-12,1.0,3.0,0.0,0.0,0.0,1-TO
149,RLGD6RS,P85177423,DP,2024-07-11,2024-07-14,1.0,2.0,0.0,0.0,0.0,2-Agences
150,RSRVXTD,P62970601,ALL IN,2024-07-11,2024-07-18,1.0,2.0,0.0,0.0,0.0,1-TO
151,RJX22IO,P30133857,ALL IN,2024-07-11,2024-07-20,1.0,2.0,0.0,0.0,0.0,1-TO
152,REJ365G,P02610734,ALL IN,2024-07-11,2024-07-20,0.0,2.0,0.0,0.0,0.0,1-TO
153,R8SZO3H,P55684973,ALL IN,2024-07-11,2024-07-25,1.0,3.0,0.0,0.0,0.0,1-TO
154,RIV9X8F,P22930055,ALL IN,2024-07-11,2024-07-25,1.0,2.0,0.0,0.0,0.0,1-TO
155,R7GDFTM,P69188071,ALL IN,2024-07-11,2024-07-18,1.0,2.0,0.0,0.0,0.0,1-TO
156,RRB6RZP,P09370347,ALL IN,2024-07-11,2024-07-18,1.0,2.0,0.0,0.0,0.0,1-TO
157,R2V6A1H,P40070821,ALL IN,2024-07-11,2024-07-18,1.0,2.0,0.0,0.0,0.0,1-TO
158,RU03JTM,P08430263,ALL IN,2024-07-11,2024-07-14,1.0,2.0,0.0,0.0,0.0,1-TO
159,R6DLE6L,P47260998,ALL IN,2024-07-11,2024-07-14,1.0,2.0,0.0,0.0,0.0,1-TO
160,RFAX0DT,P56974814,ALL IN,2024-07-11,2024-07-18,1.0,2.0,0.0,0.0,0.0,1-TO
161,R4OO9EF,P38078038,ALL IN,2024-07-11,2024-07-21,1.0,2.0,0.0,0.0,0.0,1-TO
162,RKHWO5M,P62208883,ALL IN,2024-07-11,2024-07-21,1.0,2.0,0.0,0.0,0.0,1-TO
163,R074JIJ,P02759536,ALL IN,2024-07-11,2024-07-18,1.0,2.0,0.0,0.0,0.0,1-TO
164,RVVZ2VM,P64801319,ALL IN,2024-07-11,2024-07-18,1.0,2.0,0.0,0.0,0.0,1-TO
165,RWEQ1UH,P12682191,ALL IN,2024-07-11,2024-07-23,1.0,2.0,0.0,0.0,0.0,1-TO
166,RE1J4E1,P74579075,ALL IN,2024-07-11,2024-07-23,1.0,2.0,0.0,0.0,0.0,1-TO
167,RYMS8MF,P83279991,ALL IN,2024-07-11,2024-07-18,1.0,2.0,0.0,0.0,0.0,1-TO
168,RS8JHQI,P01373817,ALL IN,2024-07-11,2024-07-18,1.0,2.0,0.0,0.0,0.0,1-TO
169,R6BAENC,P37920583,ALL IN,2024-07-11,2024-07-18,1.0,2.0,0.0,0.0,0.0,1-TO
170,RBWQDVE,P37041404,ALL IN,2024-07-11,2024-07-17,1.0,2.0,0.0,0.0,0.0,1-TO
171,RK3PU8F,P57614148,ALL IN,2024-07-11,2024-07-18,1.0,2.0,0.0,0.0,0.0,1-TO
172,RF3OV3Y,P50361816,ALL IN,2024-07-11,2024-07-18,1.0,2.0,0.0,0.0,0.0,1-TO
173,ROWPOVK,P57514942,ALL IN,2024-07-11,2024-07-18,1.0,2.0,0.0,0.0,0.0,1-TO
174,REE8MQJ,P81809776,ALL IN,2024-07-11,2024-07-25,1.0,2.0,0.0,0.0,0.0,1-TO
175,RL3KQSJ,P38239343,DP,2024-07-11,2024-07-13,1.0,2.0,0.0,0.0,0.0,5-Individuel
176,RFUQFYK,P46866122,ALL IN,2024-07-11,2024-07-18,1.0,2.0,0.0,0.0,0.0,1-TO
177,RH9HEHI,P36288209,ALL IN,2024-07-11,2024-07-18,1.0,2.0,0.0,0.0,0.0,1-TO
178,R73DJOM,P72451888,ALL IN,2024-07-11,2024-07-17,1.0,2.0,0.0,0.0,0.0,1-TO
179,R86AXIY,P32226151,ALL IN,2024-07-11,2024-07-17,1.0,2.0,0.0,0.0,0.0,1-TO
180,RGLNYQL,P32983851,ALL IN,2024-07-11,2024-07-18,1.0,2.0,0.0,0.0,0.0,1-TO
181,RHWSNL6,P20544007,ALL IN,2024-07-11,2024-07-18,1.0,2.0,0.0,0.0,0.0,1-TO
182,RHT1SPX,P26750316,ALL IN,2024-07-11,2024-07-16,1.0,2.0,0.0,0.0,0.0,1-TO
183,RL2C3L6,P63519601,ALL IN,2024-07-11,2024-07-16,1.0,2.0,0.0,0.0,0.0,1-TO
184,RCTV7C6,P85447689,DP,2024-07-11,2024-07-17,1.0,2.0,0.0,0.0,0.0,2-Agences
185,RGDS2LF,P66846109,DP,2024-07-11,2024-07-17,1.0,2.0,0.0,0.0,0.0,2-Agences
186,REAPTHB,P01520595,ALL IN,2024-07-11,2024-07-17,1.0,2.0,0.0,0.0,0.0,1-TO
187,RGNNPAG,P83929613,ALL IN,2024-07-11,2024-07-16,1.0,2.0,0.0,0.0,0.0,1-TO
188,RECPUKO,P10311399,ALL IN,2024-07-11,2024-07-18,1.0,2.0,0.0,0.0,0.0,1-TO
189,RWUB4IF,P33673375,ALL IN,2024-07-11,2024-07-18,1.0,2.0,0.0,0.0,0.0,1-TO
190,RN0P01P,P27953578,DP,2024-07-11,2024-07-16,1.0,2.0,0.0,0.0,0.0,2-Agences
191,RC41R2P,P51396921,ALL IN,2024-07-11,2024-07-18,1.0,2.0,0.0,0.0,0.0,1-TO
192,R100LML,P72434385,ALL IN,2024-07-11,2024-07-18,1.0,2.0,0.0,0.0,0.0,1-TO
193,RV1ZO6V,P61794171,DP,2024-07-11,2024-07-17,1.0,2.0,0.0,0.0,0.0,2-Agences
194,RSZFD85,P34997659,DP,2024-07-11,2024-07-17,1.0,2.0,0.0,0.0,0.0,2-Agences
195,RCNLHHU,P24583130,DP,2024-07-11,2024-07-17,1.0,2.0,0.0,0.0,0.0,2-Agences
196,RIICQJM,P17849192,DP,2024-07-11,2024-07-17,1.0,2.0,0.0,0.0,0.0,2-Agences
197,R3BDF4Y,P72742906,ALL IN,2024-07-11,2024-07-12,1.0,2.0,0.0,0.0,0.0,1-TO
198,RXJAEWY,P27011183,ALL IN,2024-07-11,2024-07-12,1.0,2.0,0.0,0.0,0.0,1-TO
199,RYC5B6K,P65215599,DP,2024-07-11,2024-07-14,1.0,2.0,0.0,0.0,0.0,2-Agences
200,R6DT3V9,P87874201,ALL IN,2024-07-11,2024-07-18,1.0,2.0,0.0,0.0,0.0,1-TO
201,R2BZ22K,P29540915,ALL IN,2024-07-11,2024-07-20,1.0,2.0,0.0,0.0,0.0,1-TO
202,RCCRT93,P62725015,ALL IN,2024-07-11,2024-07-20,1.0,2.0,0.0,0.0,0.0,1-TO
203,RQ667SZ,P41106824,ALL IN,2024-07-11,2024-07-25,1.0,2.0,0.0,0.0,0.0,1-TO
204,R730YOH,P86571696,ALL IN,2024-07-11,2024-07-25,1.0,2.0,0.0,0.0,0.0,1-TO
205,R1TT4IK,P38862867,ALL IN,2024-07-11,2024-07-25,1.0,2.0,0.0,0.0,0.0,1-TO
206,RTN1HQP,P91047629,ALL IN,2024-07-11,2024-07-18,1.0,2.0,0.0,0.0,0.0,1-TO
207,RFF0J54,P89202026,ALL IN,2024-07-11,2024-07-18,1.0,2.0,0.0,0.0,0.0,1-TO
208,R8T4Z4M,P99251441,ALL IN,2024-07-11,2024-07-18,1.0,2.0,0.0,0.0,0.0,1-TO
209,R5JIV3M,P71190473,ALL IN,2024-07-10,2024-07-24,1.0,2.0,0.0,0.0,0.0,1-TO
210,RN9GRJ4,P30343404,ALL IN,2024-07-10,2024-07-19,1.0,2.0,0.0,0.0,0.0,1-TO
211,RUGK0LO,P77512101,ALL IN,2024-07-10,2024-07-17,1.0,1.0,1.0,0.0,0.0,1-TO
212,RRH0SBF,P44736331,ALL IN,2024-07-10,2024-07-15,1.0,2.0,1.0,0.0,1.0,1-TO
213,RRIRWLI,P46870827,ALL IN,2024-07-10,2024-07-17,1.0,2.0,0.0,0.0,0.0,1-TO
214,RW0QIIT,P76011796,LPD,2024-07-10,2024-07-11,1.0,1.0,0.0,0.0,0.0,4-OTA
215,R8HUTIH,P94279506,LPD,2024-07-10,2024-07-11,1.0,1.0,0.0,0.0,0.0,4-OTA
216,RBYJ0FV,P07559631,LPD,2024-07-10,2024-07-11,1.0,1.0,0.0,0.0,0.0,4-OTA
217,RTOKJJ0,P53230372,LPD,2024-07-10,2024-07-11,1.0,1.0,0.0,0.0,0.0,4-OTA
218,RJMDKPB,P37100903,LPD,2024-07-10,2024-07-11,1.0,1.0,0.0,0.0,0.0,4-OTA
219,RWITWC4,P18604309,ALL IN,2024-07-10,2024-07-17,1.0,2.0,0.0,0.0,0.0,1-TO
220,RDPKXVW,P47867745,ALL IN,2024-07-10,2024-07-19,1.0,3.0,0.0,0.0,0.0,1-TO
221,RZ238FQ,P50377107,ALL IN,2024-07-10,2024-07-16,1.0,2.0,0.0,0.0,0.0,1-TO
222,RCU2LSQ,P98248413,ALL IN,2024-07-10,2024-07-18,1.0,2.0,0.0,0.0,0.0,1-TO
223,RX1NX12,P19993157,ALL IN,2024-07-10,2024-07-17,1.0,1.0,1.0,0.0,0.0,1-TO
224,RVSTSD3,P05846316,ALL IN,2024-07-10,2024-07-17,0.0,1.0,1.0,0.0,0.0,1-TO
225,RLTGLZN,P39614855,ALL IN,2024-07-10,2024-07-18,1.0,3.0,0.0,0.0,0.0,1-TO
226,R5L6TC0,P82002454,ALL IN,2024-07-10,2024-07-16,1.0,2.0,0.0,0.0,0.0,1-TO
227,RH968PP,P47804558,ALL IN,2024-07-10,2024-07-16,1.0,2.0,0.0,0.0,0.0,1-TO
228,RAN9CB8,P11206001,ALL IN,2024-07-10,2024-07-19,1.0,2.0,0.0,0.0,0.0,1-TO
229,RKIOXG5,P37411488,ALL IN,2024-07-10,2024-07-19,1.0,2.0,1.0,0.0,0.0,2-Agences
230,ROELVXO,P23749294,ALL IN,2024-07-10,2024-07-17,1.0,3.0,0.0,0.0,0.0,1-TO
231,RJ2LEVA,P26708334,ALL IN,2024-07-02,2024-07-09,1.0,2.0,0.0,0.0,0.0,1-TO
232,RKLCMDC,P90445106,ALL IN,2024-07-02,2024-07-09,1.0,2.0,0.0,0.0,0.0,1-TO
233,RZEY5B7,P69183439,DP,2024-07-02,2024-07-08,1.0,2.0,0.0,0.0,0.0,2-Agences
